year,week,rank,title,author
2011,2011-02-13,1,TICK TOCK,James Patterson and Michael Ledwidge
2011,2011-02-13,2,THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson
2011,2011-02-13,3,THE GIRL WHO PLAYED WITH FIRE,Stieg Larsson
2011,2011-02-13,4,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson
2011,2011-02-13,5,WATER FOR ELEPHANTS,Sara Gruen
2011,2011-02-13,6,THE CONFESSION,John Grisham
2011,2011-02-13,7,CUTTING FOR STONE,Abraham Verghese
2011,2011-02-13,8,MARRYING DAISY BELLAMY,Susan Wiggs
2011,2011-02-13,9,THE HELP,Kathryn Stockett
2011,2011-02-13,10,THE INNER CIRCLE,Brad Meltzer
2011,2011-02-13,11,STRATEGIC MOVES,Stuart Woods
2011,2011-02-13,12,WILD MAN CREEK,Robyn Carr
2011,2011-02-13,13,DEAD OR ALIVE,Tom Clancy with Grant Blackwood
2011,2011-02-13,14,SHADOWFEVER,Karen Marie Moning
2011,2011-02-13,15,ROOM,Emma Donoghue
2011,2011-02-20,1,TICK TOCK,James Patterson and Michael Ledwidge
2011,2011-02-20,2,THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson
2011,2011-02-20,3,THE GIRL WHO PLAYED WITH FIRE,Stieg Larsson
2011,2011-02-20,4,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson
2011,2011-02-20,5,WATER FOR ELEPHANTS,Sara Gruen
2011,2011-02-20,6,CUTTING FOR STONE,Abraham Verghese
2011,2011-02-20,7,THE HELP,Kathryn Stockett
2011,2011-02-20,8,THE CONFESSION,John Grisham
2011,2011-02-20,9,MARRYING DAISY BELLAMY,Susan Wiggs
2011,2011-02-20,10,THE INNER CIRCLE,Brad Meltzer
2011,2011-02-20,11,DEAD OR ALIVE,Tom Clancy with Grant Blackwood
2011,2011-02-20,12,STRATEGIC MOVES,Stuart Woods
2011,2011-02-20,13,ROOM,Emma Donoghue
2011,2011-02-20,14,FATAL ERROR,J.A. Jance
2011,2011-02-20,15,WILD MAN CREEK,Robyn Carr
2011,2011-02-27,1,TICK TOCK,James Patterson and Michael Ledwidge
2011,2011-02-27,2,ALONE,Lisa Gardner
2011,2011-02-27,3,THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson
2011,2011-02-27,4,A DISCOVERY OF WITCHES,Deborah Harkness
2011,2011-02-27,5,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson
2011,2011-02-27,6,THE GIRL WHO PLAYED WITH FIRE,Stieg Larsson
2011,2011-02-27,7,WATER FOR ELEPHANTS,Sara Gruen
2011,2011-02-27,8,CUTTING FOR STONE,Abraham Verghese
2011,2011-02-27,9,THE HELP,Kathryn Stockett
2011,2011-02-27,10,THE CONFESSION,John Grisham
2011,2011-02-27,11,DEAD OR ALIVE,Tom Clancy with Grant Blackwood
2011,2011-02-27,12,ROOM,Emma Donoghue
2011,2011-02-27,13,MARRYING DAISY BELLAMY,Susan Wiggs
2011,2011-02-27,14,THE SECRET SOLDIER,Alex Berenson
2011,2011-02-27,15,STRATEGIC MOVES,Stuart Woods
2011,2011-03-06,1,ALONE,Lisa Gardner
2011,2011-03-06,2,TICK TOCK,James Patterson and Michael Ledwidge
2011,2011-03-06,3,THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson
2011,2011-03-06,4,WATER FOR ELEPHANTS,Sara Gruen
2011,2011-03-06,5,THE GIRL WHO PLAYED WITH FIRE,Stieg Larsson
2011,2011-03-06,6,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson
2011,2011-03-06,7,A DISCOVERY OF WITCHES,Deborah Harkness
2011,2011-03-06,8,DREAMS OF A DARK WARRIOR,Kresley Cole
2011,2011-03-06,9,CUTTING FOR STONE,Abraham Verghese
2011,2011-03-06,10,THE HELP,Kathryn Stockett
2011,2011-03-06,11,THE CONFESSION,John Grisham
2011,2011-03-06,12,HER LAST LETTER,Nancy C. Johnson
2011,2011-03-06,13,DEAD OR ALIVE,Tom Clancy with Grant Blackwood
2011,2011-03-06,14,ROOM,Emma Donoghue
2011,2011-03-06,15,HOTEL ON THE CORNER OF BITTER AND SWEET,Jamie Ford
2011,2011-03-13,1,TREACHERY IN DEATH,J. D. Robb
2011,2011-03-13,2,ALONE,Lisa Gardner
2011,2011-03-13,3,WATER FOR ELEPHANTS,Sara Gruen
2011,2011-03-13,4,PALE DEMON,Kim Harrison
2011,2011-03-13,5,THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson
2011,2011-03-13,6,TICK TOCK,James Patterson and Michael Ledwidge
2011,2011-03-13,7,THE GIRL WHO PLAYED WITH FIRE,Stieg Larsson
2011,2011-03-13,8,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson
2011,2011-03-13,9,GIDEON’S SWORD,Douglas Preston and Lincoln Child
2011,2011-03-13,10,A DISCOVERY OF WITCHES,Deborah Harkness
2011,2011-03-13,11,THIS SIDE OF THE GRAVE,Jeaniene Frost
2011,2011-03-13,12,CUTTING FOR STONE,Abraham Verghese
2011,2011-03-13,13,A CREED IN STONE CREEK,Linda Lael Miller
2011,2011-03-13,14,HARVEST MOON,Robyn Carr
2011,2011-03-13,15,THE HELP,Kathryn Stockett
2011,2011-03-20,1,SING YOU HOME,Jodi Picoult
2011,2011-03-20,2,THE WISE MAN'S FEAR,Patrick Rothfuss
2011,2011-03-20,3,RIVER MARKED,Patricia Briggs
2011,2011-03-20,4,WATER FOR ELEPHANTS,Sara Gruen
2011,2011-03-20,5,TICK TOCK,James Patterson and Michael Ledwidge
2011,2011-03-20,6,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson
2011,2011-03-20,7,THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson
2011,2011-03-20,8,TREACHERY IN DEATH,J. D. Robb
2011,2011-03-20,9,ALONE,Lisa Gardner
2011,2011-03-20,10,THE GIRL WHO PLAYED WITH FIRE,Stieg Larsson
2011,2011-03-20,11,A DISCOVERY OF WITCHES,Deborah Harkness
2011,2011-03-20,12,MINDING FRANKIE,Maeve Binchy
2011,2011-03-20,13,LIVE WIRE,Lora Leigh
2011,2011-03-20,14,CUTTING FOR STONE,Abraham Verghese
2011,2011-03-20,15,A CREED IN STONE CREEK,Linda Lael Miller
2011,2011-03-27,1,WATER FOR ELEPHANTS,Sara Gruen
2011,2011-03-27,2,THE JUNGLE,Clive Cussler with Jack Du Brul
2011,2011-03-27,3,SING YOU HOME,Jodi Picoult
2011,2011-03-27,4,LOVE YOU MORE,Lisa Gardner
2011,2011-03-27,5,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson
2011,2011-03-27,6,THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson
2011,2011-03-27,7,THE GIRL WHO PLAYED WITH FIRE,Stieg Larsson
2011,2011-03-27,8,TICK TOCK,James Patterson and Michael Ledwidge
2011,2011-03-27,9,A DISCOVERY OF WITCHES,Deborah Harkness
2011,2011-03-27,10,THE LINCOLN LAWYER,Michael Connelly
2011,2011-03-27,11,THE WISE MAN'S FEAR,Patrick Rothfuss
2011,2011-03-27,12,CUTTING FOR STONE,Abraham Verghese
2011,2011-03-27,13,THE PARIS WIFE,Paula McLain
2011,2011-03-27,14,THE HELP,Kathryn Stockett
2011,2011-03-27,15,TREACHERY IN DEATH,J. D. Robb
2011,2011-04-03,1,WATER FOR ELEPHANTS,Sara Gruen
2011,2011-04-03,2,TOYS,James Patterson and Neil McMahon
2011,2011-04-03,3,THE LINCOLN LAWYER,Michael Connelly
2011,2011-04-03,4,SING YOU HOME,Jodi Picoult
2011,2011-04-03,5,LOVE YOU MORE,Lisa Gardner
2011,2011-04-03,6,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson
2011,2011-04-03,7,THE JUNGLE,Clive Cussler with Jack Du Brul
2011,2011-04-03,8,THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson
2011,2011-04-03,9,THE GIRL WHO PLAYED WITH FIRE,Stieg Larsson
2011,2011-04-03,10,CUTTING FOR STONE,Abraham Verghese
2011,2011-04-03,11,TICK TOCK,James Patterson and Michael Ledwidge
2011,2011-04-03,12,A DISCOVERY OF WITCHES,Deborah Harkness
2011,2011-04-03,13,THE PARIS WIFE,Paula McLain
2011,2011-04-03,14,THE HELP,Kathryn Stockett
2011,2011-04-03,15,THE TIGER’S WIFE,Tea Obreht
2011,2011-04-10,1,LIVE WIRE,Harlan Coben
2011,2011-04-10,2,WATER FOR ELEPHANTS,Sara Gruen
2011,2011-04-10,3,THE LINCOLN LAWYER,Michael Connelly
2011,2011-04-10,4,SING YOU HOME,Jodi Picoult
2011,2011-04-10,5,TOYS,James Patterson and Neil McMahon
2011,2011-04-10,6,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson
2011,2011-04-10,7,NIGHT ROAD,Kristin Hannah
2011,2011-04-10,8,THE SATURDAY BIG TENT WEDDING PARTY,Alexander McCall Smith
2011,2011-04-10,9,LEAVING,Karen Kingsbury
2011,2011-04-10,10,THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson
2011,2011-04-10,11,LOVE YOU MORE,Lisa Gardner
2011,2011-04-10,12,THE GIRL WHO PLAYED WITH FIRE,Stieg Larsson
2011,2011-04-10,13,CUTTING FOR STONE,Abraham Verghese
2011,2011-04-10,14,THE JUNGLE,Clive Cussler with Jack Du Brul
2011,2011-04-10,15,THE PARIS WIFE,Paula McLain
2011,2011-04-17,1,THE LAND OF PAINTED CAVES,Jean M. Auel
2011,2011-04-17,2,LOVER UNLEASHED,J. R. Ward
2011,2011-04-17,3,WATER FOR ELEPHANTS,Sara Gruen
2011,2011-04-17,4,THE LINCOLN LAWYER,Michael Connelly
2011,2011-04-17,5,MYSTERY,Jonathan Kellerman
2011,2011-04-17,6,LIVE WIRE,Harlan Coben
2011,2011-04-17,7,TOYS,James Patterson and Neil McMahon
2011,2011-04-17,8,SING YOU HOME,Jodi Picoult
2011,2011-04-17,9,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson
2011,2011-04-17,10,LOVE YOU MORE,Lisa Gardner
2011,2011-04-17,11,THE DARKEST SECRET,Gena Showalter
2011,2011-04-17,12,THE PARIS WIFE,Paula McLain
2011,2011-04-17,13,HOME FREE,Fern Michaels
2011,2011-04-17,14,THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson
2011,2011-04-17,15,THE TROUBLED MAN,Henning Mankell
2011,2011-04-24,1,THE FIFTH WITNESS,Michael Connelly
2011,2011-04-24,2,WATER FOR ELEPHANTS,Sara Gruen
2011,2011-04-24,3,THE LINCOLN LAWYER,Michael Connelly
2011,2011-04-24,4,I’LL WALK ALONE,Mary Higgins Clark
2011,2011-04-24,5,THE HELP,Kathryn Stockett
2011,2011-04-24,6,THE LAND OF PAINTED CAVES,Jean M. Auel
2011,2011-04-24,7,44 CHARLES STREET,Danielle Steel
2011,2011-04-24,8,NAVARRO'S PROMISE,Lora Leigh
2011,2011-04-24,9,MYSTERY,Jonathan Kellerman
2011,2011-04-24,10,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson
2011,2011-04-24,11,LIVE WIRE,Harlan Coben
2011,2011-04-24,12,THE PARIS WIFE,Paula McLain
2011,2011-04-24,13,SING YOU HOME,Jodi Picoult
2011,2011-04-24,14,TOYS,James Patterson and Neil McMahon
2011,2011-04-24,15,LOVE YOU MORE,Lisa Gardner
2011,2011-05-01,1,WATER FOR ELEPHANTS,Sara Gruen
2011,2011-05-01,2,CHASING FIRE,Nora Roberts
2011,2011-05-01,3,THE LINCOLN LAWYER,Michael Connelly
