year,week,rank,title,author,publisher,description
2016,2016-02-14,1,NYPD RED 4,James Patterson and Marshall Karp,"Little, Brown","Detective Zach Gordon and his partner, members of an elite task force that protects the rich and famous, pursue a cold-blooded killer."
2016,2016-02-14,2,SPIDER GAME,Christine Feehan,Jove,Trap shares his sidekick's desire for getting even.
2016,2016-02-14,3,THE BANDS OF MOURNING,Brandon Sanderson,Tor/Tom Doherty,"A sequel to ""Shadows of Self""; a Mistborn novel."
2016,2016-02-14,4,THE CHOICE,Nicholas Sparks,Grand Central,"When Travis meets his new neighbor, his bachelor status erodes."
2016,2016-02-14,5,MY NAME IS LUCY BARTON,Elizabeth Strout,Random House,A woman struggles with memories of her impoverished and disturbing childhood and its effect on the present as she attempts to reconcile with her mother.
2016,2016-02-14,6,BLUE,Danielle Steel,Delacorte,A woman whose life has been shattered befriends a homeless boy.
2016,2016-02-14,7,THE NIGHTINGALE,Kristin Hannah,St. Martin's,"Two sisters are separated in World War II France: one in the countryside, the other in Paris."
2016,2016-02-14,8,THE LAST ANNIVERSARY,Liane Moriarty,Harper Perennial,"A family home on an Australian island is bequeathed to an outsider, and the clan's conflicts come with it."
2016,2016-02-14,9,THE GIRL ON THE TRAIN,Paula Hawkins,Riverhead,A psychological thriller set in the environs of London is full of complications and betrayals.
2016,2016-02-14,10,THE REVENANT,Michael Punke,Picador,"Left for dead after a mauling, a master tracker is consumed by a singular desire for revenge; an inspiration for the 2015 film."
2016,2016-02-14,11,MY AMERICAN DUCHESS,Eloisa James,Avon,An expat heiress in Regency England finds her affections shifting to her fiancé's twin.
2016,2016-02-14,12,THE BALLER,Vi Keeland,Vi Keeland,"After a locker-room interview of a Super Bowl M.V.P., a sportscaster decides to alter her dating rules."
2016,2016-02-14,13,STAKED,Kevin Hearne,Del Rey,"When his vampire nemesis heads to Rome, a Druid follows."
2016,2016-02-14,14,THE MARTIAN,Andy Weir,Crown,"Abandoned by his crew, an astronaut embarks on a dogged quest to stay alive."
2016,2016-02-14,15,TOUGH CUSTOMER,Sandra Brown,Simon & Schuster,"The private investigator Dodge Hanley heads to Texas to save a daughter he has never met, who has become the object of a stalker’s desire."
