year,week,rank,title,author
1931,1931-10-12,1,THE TEN COMMANDMENTS,Warwick Deeping
1931,1931-10-12,2,FINCHE'S FORTUNE,Mazo de la Roche
1931,1931-10-12,3,THE GOOD EARTH,Pearl S. Buck
1931,1931-10-12,4,SHADOWS ON THE ROCK,Willa Cather
1931,1931-10-12,5,SCARMOUCHE THE KING MAKER,Rafael Sabatini
1931,1931-11-16,1,MAID IN WAITING,John Galsworthy
1931,1931-11-16,2,TWO PEOPLE,A. A. Milne
1931,1931-11-16,3,AMERICAN BEAUTY,Edna Ferber
1931,1931-11-16,4,BROOME STAGES,Clemance Dane
1931,1931-11-16,5,SPARKS FLY UPWARD,Oliver LaFarge
1931,1931-11-30,1,MAID IN WAITING,John Galsworthy
1931,1931-11-30,2,AMERICAN BEAUTY,Edna Ferber
1931,1931-11-30,3,TWO PEOPLE,A. A. Milne
1931,1931-12-07,1,MAID IN WAITING,John Galsworthy
1931,1931-12-07,2,THE GOOD EARTH,Pearl Buck
1931,1931-12-07,3,TWO PEOPLE,A. A. Milne
1931,1931-12-14,1,MAID IN WAITING,John Galsworthy
1931,1931-12-14,2,TWO PEOPLE,A. A. Milne
1931,1931-12-14,3,MALAYSIA,Henri Fauconnier
1931,1931-12-21,1,MAID IN WAITING,John Galsworthy
1931,1931-12-21,2,BROOME STAGES,Clemance Dane
1931,1931-12-21,3,WESTWARD PASSAGE,Margaret Ayer Barnes
1931,1931-12-28,1,MAID IN WAITING,John Galsworthy
1931,1931-12-28,2,WESTWARD PASSAGE,Margaret Ayer Barnes
1931,1931-12-28,3,BROOME STAGES,Clemance Dane
1932,1932-01-04,1,MAID IN WAITING,John Galsworthy
1932,1932-01-04,2,WESTWARD PASSAGE,Margaret Ayer Barnes
1932,1932-01-04,3,BROOME STAGES,Clemence Dane
1932,1932-01-11,1,THE HARBOURMASTER,William McFee
1932,1932-01-11,2,MAID IN WAITING,John Galsworthy
1932,1932-01-11,3,THE GOOD EARTH,Pearl S. Buck
1932,1932-01-18,1,THE HARBOURMASTER,William McFee
1932,1932-01-18,2,THE MAN FROM SING SING,E. Phillips Oppenheim
1932,1932-01-18,3,MAID IN WAITING,John Galsworthy
1932,1932-01-25,1,MR. AND MRS. PENNINGTON,Francis Brett Young
1932,1932-01-25,2,THE HARBOURMASTER,William McFee
1932,1932-01-25,3,THE END OF DESIRE,Robert Herrick
1932,1932-02-01,1,MR. AND MRS. PENNINGTON,Francis Brett Young
1932,1932-02-01,2,THE HARBOURMASTER,William McFee
1932,1932-02-01,3,WESTWARD PASSAGE,Margaret Ayer Barnes
1932,1932-02-08,1,THE END OF DESIRE,Robert Herrick
1932,1932-02-08,2,MARY'S NECK,Booth Tarkington
1932,1932-02-08,3,MR. AND MRS. PENNINGTON,Francis Brett Young
1932,1932-02-15,1,MARY'S NECK,Booth Tarkington
1932,1932-02-15,2,MR. AND MRS. PENNINGTON,Francis Brett Young
1932,1932-02-15,3,WESTWARD PASSAGE,Margaret Ayer Barnes
1932,1932-02-22,1,MARY'S NECK,Booth Tarkington
1932,1932-02-22,2,LOADS OF LOVE,Anne Parrish
1932,1932-02-22,3,MISS PINKERTON,Mary Roberts Rinehart
1932,1932-02-29,1,MARY'S NECK,Booth Tarkington
1932,1932-02-29,2,MISS PINKERTON,Mary Roberts Rinehart
1932,1932-02-29,3,LOADS OF LOVE,Anne Parrish
1932,1932-03-07,1,MARY'S NECK,Booth Tarkington
1932,1932-03-07,2,MISS PINKERTON,Mary Roberts Rinehart
1932,1932-03-07,3,BRAVE NEW WORLD,Aldous Huxley
1932,1932-03-14,1,MARY'S NECK,Booth Tarkington
1932,1932-03-14,2,THIRTEEN WOMEN,Tiffany Thayer
1932,1932-03-14,3,AND LIFE GOES ON,Vicki Baum
1932,1932-03-21,1,MARY'S NECK,Booth Tarkington
1932,1932-03-21,2,1919,John Dos Passos
1932,1932-03-21,3,LOADS OF LOVE,Anne Parrish
1932,1932-03-28,1,MARY'S NECK,Booth Tarkington
1932,1932-03-28,2,MAGNOLIA STREET,Louis Golding
1932,1932-03-28,3,SECOND-HAND WIFE,Kathleen Norris
1932,1932-04-04,1,MAGNOLIA STREET,Louis Golding
1932,1932-04-04,2,MARY'S NECK,Booth Tarkington
1932,1932-04-04,3,THE GOOD EARTH,Pearl S. Buck
1932,1932-04-11,1,MAGNOLIA STREET,Louis Golding
1932,1932-04-11,2,THE GOOD EARTH,Pearl S. Buck
1932,1932-04-11,3,THIRTEEN WOMEN,Tiffany Thayer
1932,1932-04-18,1,MAGNOLIA STREET,Louis Golding
1932,1932-04-18,2,THIRTEEN WOMEN,Tiffany Thayer
1932,1932-04-18,3,BRIGHT SKIN,Julia Peterkin
1932,1932-04-25,1,MAGNOLIA STREET,Louis Golding
1932,1932-04-25,2,BRIGHT SKIN,Julia Peterkin
1932,1932-04-25,3,BRAVE NEW WORLD,Aldous Huxley
1932,1932-05-02,1,BRIGHT SKIN,Julia Peterkin
1932,1932-05-02,2,THREE LOVES,A. J. Cronin
1932,1932-05-02,3,HEAT LIGHTNING,Helen Hull
1932,1932-05-09,1,A MODERN HERO,Louis Bromfield
1932,1932-05-09,2,MAGNOLIA STREET,Louis Golding
1932,1932-05-09,3,BRIGHT SKIN,Julia Peterkin
1932,1932-05-16,1,THE GOOD EARTH,Pearl S. Buck
1932,1932-05-16,2,A MODERN HERO,Louis Bromfield
1932,1932-05-16,3,MAGNOLIA STREET,Louis Golding
1932,1932-05-23,1,THE GOOD EARTH,Pearl S. Buck
1932,1932-05-23,2,A MODERN HERO,Louis Bromfield
1932,1932-05-23,3,BRIGHT SKIN,Julia Peterkin
1932,1932-05-30,1,THE GOOD EARTH,Pearl S. Buck
1932,1932-05-30,2,THE BLACK SWAN,Rafael Sabatini
1932,1932-05-30,3,A MODERN HERO,Louis Bromfield
1932,1932-06-06,1,DISTRICT NURSE,Faith Baldwin
1932,1932-06-06,2,THE GOOD EARTH,Pearl S. Buck
1932,1932-06-06,3,THE BLACK SWAN,Rafael Sabatini
1932,1932-06-13,1,THE FOUNTAIN,Charles Morgan
1932,1932-06-13,2,THE GOOD EARTH,Pearl S. Buck
1932,1932-06-13,3,DISTRICT NURSE,Faith Baldwin
1932,1932-06-20,1,THE FOUNTAIN,Charles Morgan
1932,1932-06-20,2,DISTRICT NURSE,Faith Baldwin
1932,1932-06-20,3,THE BLACK SWAN,Rafael Sabatini
1932,1932-06-27,1,THE FOUNTAIN,Charles Morgan
1932,1932-06-27,2,UNDERTOW,A. Hamilton Gibbs
1932,1932-06-27,3,THE GOOD EARTH,Pearl S. Buck
1932,1932-07-04,1,THE FOUNTAIN,Charles Morgan
1932,1932-07-04,2,UNDERTOW,A. Hamilton Gibbs
1932,1932-07-04,3,BENEFITS RECEIVED,Alice Grant Rosman
1932,1932-07-11,1,THE FOUNTAIN,Charles Morgan
1932,1932-07-11,2,THE RUEFUL MATING,G. B. Stern
1932,1932-07-11,3,YOUNGER SISTER,Kathleen Norris
1932,1932-07-18,1,THE FOUNTAIN,Charles Morgan
1932,1932-07-18,2,BENEFITS RECEIVED,Alice Grant Rosman
1932,1932-07-18,3,THE STORE,T. S. Stribling
1932,1932-07-25,1,THE FOUNTAIN,Charles Morgan
1932,1932-07-25,2,THE STORE,T. S. Stribling
1932,1932-07-25,3,BALLERINA,Lady Eleanor Smith
1932,1932-08-01,1,THE FOUNTAIN,Charles Morgan
1932,1932-08-01,2,THE STORE,T. S. Stribling
1932,1932-08-01,3,LITTLE GIRL LOST,Temple Bailey
1932,1932-08-08,1,THE FOUNTAIN,Charles Morgan
1932,1932-08-08,2,OBSCURE DESTINIES,Willa Cather
1932,1932-08-08,3,FARAWAY,J. B. Priestley
1932,1932-08-15,1,FARAWAY,J. B. Priestley
1932,1932-08-15,2,THE FOUNTAIN,Charles Morgan
1932,1932-08-15,3,HEAD TIDE,Joseph C. Lincoln
1932,1932-08-22,1,LARK ASCENDING,Mazo De La Roche
1932,1932-08-22,2,THE FOUNTAIN,Charles Morgan
1932,1932-08-22,3,OBSCURE DESTINIES,Willa Cather
1932,1932-08-29,1,THE FOUNTAIN,Charles Morgan
1932,1932-08-29,2,FARAWAY,J. B. Priestley
1932,1932-08-29,3,OBSCURE DESTINIES,Willa Cather
1932,1932-09-05,1,A NEW YORK TEMPEST,Manuel Komroff
1932,1932-09-05,2,THE SHELTERED LIFE,Ellen Glasgow
1932,1932-09-05,3,THE FOUNTAIN,Charles Morgan
1932,1932-09-12,1,THE SHELTERED LIFE,Ellen Glasgow
1932,1932-09-12,2,THE FOUNTAIN,Charles Morgan
1932,1932-09-12,3,FARAWAY,J. B. Priestley
1932,1932-09-19,1,THE SHELTERED LIFE,Ellen Glasgow
1932,1932-09-19,2,THE FOUNTAIN,Charles Morgan
1932,1932-09-19,3,THE FORTRESS,Hugh Walpole
1932,1932-09-26,1,THE SHELTERED LIFE,Ellen Glasgow
1932,1932-09-26,2,THE FOUNTAIN,Charles Morgan
1932,1932-09-26,3,INHERITANCE,Phyllis Bentley
1932,1932-10-03,1,SONS,Pearl S. Buck
1932,1932-10-03,2,THE SHELTERED LIFE,Ellen Glasgow
1932,1932-10-03,3,INHERITANCE,Phyllis Bentley
1932,1932-10-10,1,SONS,Pearl S. Buck
1932,1932-10-10,2,THE SHELTERED LIFE,Ellen Glasgow
1932,1932-10-10,3,INHERITANCE,Phyllis Bentley
1932,1932-10-17,1,SONS,Pearl S. Buck
1932,1932-10-17,2,THE SHELTERED LIFE,Ellen Glasgow
1932,1932-10-17,3,SMITH,Warwick Deeping
1932,1932-10-24,1,SONS,Pearl S. Buck
1932,1932-10-24,2,THE FOUNTAIN,Charles Morgan
1932,1932-10-24,3,SMITH,Warwick Deeping
1932,1932-10-31,1,SONS,Pearl S. Buck
1932,1932-10-31,2,THE FOUNTAIN,Charles Morgan
1932,1932-10-31,3,INHERITANCE,Phyllis Bentley
1932,1932-11-07,1,SONS,Pearl S. Buck
1932,1932-11-07,2,THE BISHOP'S JAEGERS,Thorne Smith
1932,1932-11-07,3,INHERITANCE,Phyllis Bentley
1932,1932-11-14,1,INVITATION TO THE WALTZ,Rosamond Lehmann
1932,1932-11-14,3,JOSEPHUS,Lion Feuchtwanger
1932,1932-11-21,1,FLOWERING WILDERNESS,John Galsworthy
1932,1932-11-21,2,THE NARROW CORNER,W. Someset Maugham
1932,1932-11-21,3,INVITATION TO THE WALTZ,Rosamond Lehmann
1932,1932-11-28,1,FLOWERING WILDERNESS,John Galsworthy
1932,1932-11-28,2,THE NARROW CORNER,W. Someset Maugham
1932,1932-11-28,3,THE BISHOP'S JAEGERS,Thorne Smith
1932,1932-12-05,1,FLOWERING WILDERNESS,John Galsworthy
1932,1932-12-05,2,INVITATION TO THE WALTZ,Rosamond Lehmann
1932,1932-12-05,3,THE NARROW CORNER,W. Someset Maugham
1932,1932-12-12,1,FLOWERING WILDERNESS,John Galsworthy
1932,1932-12-12,2,THE NARROW CORNER,W. Someset Maugham
1932,1932-12-12,3,THE BISHOP'S JAEGERS,Thorne Smith
1932,1932-12-19,1,FLOWERING WILDERNESS,John Galsworthy
1932,1932-12-19,2,THE NARROW CORNER,W. Someset Maugham
1932,1932-12-19,3,THE BISHOP'S JAEGERS,Thorne Smith
1932,1932-12-26,1,FLOWERING WILDERNESS,John Galsworthy
1932,1932-12-26,2,THE NARROW CORNER,W. Someset Maugham
1932,1932-12-26,3,FORGIVE US OUR TRESPASSES,Lloyd C. Douglas
1933,1933-01-02,1,FLOWERING WILDERNESS,John Galsworthy
1933,1933-01-02,2,THE NARROW CORNER,W. Someset Maugham
1933,1933-01-02,3,THE BISHOP'S JAEGERS,Thorne Smith
1933,1933-01-09,1,FLOWERING WILDERNESS,John Galsworthy
1933,1933-01-09,2,BEAUTY,Faith Baldwin
1933,1933-01-09,3,THE LAST ADAM,James G. Cozzens
1933,1933-01-16,1,THE LAST ADAM,James G. Cozzens
1933,1933-01-16,2,THE NARROW CORNER,W. Someset Maugham
1933,1933-01-16,3,BEAUTY,Faith Baldwin
1933,1933-01-23,1,THE LAST ADAM,James G. Cozzens
1933,1933-01-23,2,THE KENNEL MURDER CASE,S. S. Van Dine
1933,1933-01-23,3,NEVER ASK THE END,Isabel Paterson
1933,1933-01-30,1,ANN VICKERS,Sinclair Lewis
1933,1933-01-30,2,THE LAST ADAM,James G. Cozzens
1933,1933-01-30,3,THE KENNEL MURDER CASE,S. S. Van Dine
1933,1933-02-06,1,ANN VICKERS,Sinclair Lewis
1933,1933-02-06,2,THE LAST ADAM,James G. Cozzens
1933,1933-02-06,3,THE BULPINGTON OF BLUP,H. G. Wells
1933,1933-02-13,1,ANN VICKERS,Sinclair Lewis
