author,title,appearances
Delia Owens,WHERE THE CRAWDADS SING,193
Colleen Hoover,IT ENDS WITH US,146
Gillian Flynn,GONE GIRL,122
Taylor Jenkins Reid,THE SEVEN HUSBANDS OF EVELYN HUGO,115
Paula Hawkins,THE GIRL ON THE TRAIN,102
Colleen Hoover,VERITY,94
Anthony Doerr,ALL THE LIGHT WE CANNOT SEE,91
Freida McFadden,THE HOUSEMAID,86
Rebecca Yarros,FOURTH WING,84
Celeste Ng,LITTLE FIRES EVERYWHERE,81
E. L. James,FIFTY SHADES OF GREY,79
Kristin Hannah,THE NIGHTINGALE,71
Heather Morris,THE TATTOOIST OF AUSCHWITZ,70
