title,author,rank,date
READY PLAYER TWO,by Ernest Cline,1,2020-12-13
DEADLY CROSS,by James Patterson,2,2020-12-13
THE RETURN,by Nicholas Sparks,3,2020-12-13
A TIME FOR MERCY,by John Grisham,4,2020-12-13
DAYLIGHT,by David Baldacci,5,2020-12-13
THE AWAKENING,by Nora Roberts,6,2020-12-13
THE LAW OF INNOCENCE,by Michael Connelly,7,2020-12-13
RHYTHM OF WAR,by Brandon Sanderson,8,2020-12-13
THE SENTINEL,by Lee Child and Andrew Child,9,2020-12-13
THE VANISHING HALF,by Brit Bennett,10,2020-12-13
FORTUNE AND GLORY,by Janet Evanovich,11,2020-12-13
WHERE THE CRAWDADS SING,by Delia Owens,12,2020-12-13
ANXIOUS PEOPLE,by Fredrik Backman,13,2020-12-13
THE INVISIBLE LIFE OF ADDIE LARUE,by V.E. Schwab,14,2020-12-13
ALL THAT GLITTERS,by Danielle Steel,15,2020-12-13
READY PLAYER TWO,by Ernest Cline,1,2020-12-20
A TIME FOR MERCY,by John Grisham,2,2020-12-20
DEADLY CROSS,by James Patterson,3,2020-12-20
THE RETURN,by Nicholas Sparks,4,2020-12-20
DAYLIGHT,by David Baldacci,5,2020-12-20
THE VANISHING HALF,by Brit Bennett,6,2020-12-20
THE LAW OF INNOCENCE,by Michael Connelly,7,2020-12-20
THE SENTINEL,by Lee Child and Andrew Child,8,2020-12-20
THE AWAKENING,by Nora Roberts,9,2020-12-20
FORTUNE AND GLORY,by Janet Evanovich,10,2020-12-20
WHERE THE CRAWDADS SING,by Delia Owens,11,2020-12-20
RHYTHM OF WAR,by Brandon Sanderson,12,2020-12-20
ANXIOUS PEOPLE,by Fredrik Backman,13,2020-12-20
THE INVISIBLE LIFE OF ADDIE LARUE,by V.E. Schwab,14,2020-12-20
THE SEARCHER,by Tana French,15,2020-12-20
READY PLAYER TWO,by Ernest Cline,1,2020-12-27
A TIME FOR MERCY,by John Grisham,2,2020-12-27
DEADLY CROSS,by James Patterson,3,2020-12-27
THE RETURN,by Nicholas Sparks,4,2020-12-27
THE VANISHING HALF,by Brit Bennett,5,2020-12-27
DAYLIGHT,by David Baldacci,6,2020-12-27
WHERE THE CRAWDADS SING,by Delia Owens,7,2020-12-27
THE LAW OF INNOCENCE,by Michael Connelly,8,2020-12-27
THE AWAKENING,by Nora Roberts,9,2020-12-27
THE SENTINEL,by Lee Child and Andrew Child,10,2020-12-27
FORTUNE AND GLORY,by Janet Evanovich,11,2020-12-27
ANXIOUS PEOPLE,by Fredrik Backman,12,2020-12-27
THE MIDNIGHT LIBRARY,by Matt Haig,13,2020-12-27
HAMNET,by Maggie O'Farrell,14,2020-12-27
THE EVENING AND THE MORNING,by Ken Follett,15,2020-12-27
A TIME FOR MERCY,by John Grisham,1,2021-01-03
READY PLAYER TWO,by Ernest Cline,2,2021-01-03
DEADLY CROSS,by James Patterson,3,2021-01-03
THE RETURN,by Nicholas Sparks,4,2021-01-03
THE VANISHING HALF,by Brit Bennett,5,2021-01-03
WHERE THE CRAWDADS SING,by Delia Owens,6,2021-01-03
DAYLIGHT,by David Baldacci,7,2021-01-03
THE SENTINEL,by Lee Child and Andrew Child,8,2021-01-03
THE AWAKENING,by Nora Roberts,9,2021-01-03
THE LAW OF INNOCENCE,by Michael Connelly,10,2021-01-03
IF IT BLEEDS,by Stephen King,11,2021-01-03
FORTUNE AND GLORY,by Janet Evanovich,12,2021-01-03
THE MIDNIGHT LIBRARY,by Matt Haig,13,2021-01-03
THE INVISIBLE LIFE OF ADDIE LARUE,by V.E. Schwab,14,2021-01-03
THE EVENING AND THE MORNING,by Ken Follett,15,2021-01-03
A TIME FOR MERCY,by John Grisham,1,2021-01-10
READY PLAYER TWO,by Ernest Cline,2,2021-01-10
THE VANISHING HALF,by Brit Bennett,3,2021-01-10
THE RETURN,by Nicholas Sparks,4,2021-01-10
DEADLY CROSS,by James Patterson,5,2021-01-10
WHERE THE CRAWDADS SING,by Delia Owens,6,2021-01-10
IF IT BLEEDS,by Stephen King,7,2021-01-10
DAYLIGHT,by David Baldacci,8,2021-01-10
THE SENTINEL,by Lee Child and Andrew Child,9,2021-01-10
ANXIOUS PEOPLE,by Fredrik Backman,10,2021-01-10
THE AWAKENING,by Nora Roberts,11,2021-01-10
THE LAW OF INNOCENCE,by Michael Connelly,12,2021-01-10
THE INVISIBLE LIFE OF ADDIE LARUE,by V.E. Schwab,13,2021-01-10
FORTUNE AND GLORY,by Janet Evanovich,14,2021-01-10
THE EVENING AND THE MORNING,by Ken Follett,15,2021-01-10
THE VANISHING HALF,by Brit Bennett,1,2021-01-17
THE INVISIBLE LIFE OF ADDIE LARUE,by V.E. Schwab,2,2021-01-17
THE RETURN,by Nicholas Sparks,3,2021-01-17
READY PLAYER TWO,by Ernest Cline,4,2021-01-17
WHERE THE CRAWDADS SING,by Delia Owens,5,2021-01-17
ANXIOUS PEOPLE,by Fredrik Backman,6,2021-01-17
A TIME FOR MERCY,by John Grisham,7,2021-01-17
THE MYSTERY OF MRS. CHRISTIE,by Marie Benedict,8,2021-01-17
THE MIDNIGHT LIBRARY,by Matt Haig,9,2021-01-17
DEADLY CROSS,by James Patterson,10,2021-01-17
DAYLIGHT,by David Baldacci,11,2021-01-17
THE GUEST LIST,by Lucy Foley,12,2021-01-17
THE AWAKENING,by Nora Roberts,13,2021-01-17
HUSH-HUSH,by Stuart Woods,14,2021-01-17
THE SENTINEL,by Lee Child and Andrew Child,15,2021-01-17
STAR WARS: LIGHT OF THE JEDI,by Charles Soule,1,2021-01-24
NEIGHBORS,by Danielle Steel,2,2021-01-24
THE VANISHING HALF,by Brit Bennett,3,2021-01-24
THE WIFE UPSTAIRS,by Rachel Hawkins,4,2021-01-24
WHERE THE CRAWDADS SING,by Delia Owens,5,2021-01-24
OUTLAWED,by Anna North,6,2021-01-24
THE RETURN,by Nicholas Sparks,7,2021-01-24
THE PROPHETS,by Robert Jones Jr.,8,2021-01-24
A TIME FOR MERCY,by John Grisham,9,2021-01-24
ANXIOUS PEOPLE,by Fredrik Backman,10,2021-01-24
